ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
2500,"9999925625","0000","SIPAN BLACK OLIVES",,"1","7.50","7.500","12.99",,,,,"Tax","FROZEN MEAL","NOTAX","UNKNOWN","5.00",5,"42.26",0,0,"D",0,"general",0,"81086",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2501,"9999948266","0000","SIPAN GREEN OLIVES & CHEESE",,"1","7.50","7.500","12.99",,,,,"Tax","FROZEN MEAL","NOTAX","UNKNOWN","3.00",3,"42.26",0,0,"D",0,"general",0,"71921",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2502,"2200001787","022000017871","EXTRA SPEARMINT GUM 35 STICKS",,"1","2.91","2.870","5.99",,,,,"Tax","SNACKS","NOTAX","Jetro","6.00",6,"51.42",1,1,"C",0,"general",0,"22443",6,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2503,"4000042431","040000424314","SNICKERS 52.7G","SINGLE","1","1.14","1.140","2.50",,,,,"Tax","SNACKS","NOTAX","Jetro","6.00",6,"54.40",0,0,"D",0,"general",0,"96009",48,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2504,"9441100135","694411001352","DAISY GOURMET BLUEBERRY MUFFIN",,"1","1.16","1.160","2.99",,,,,"Tax","FRESH FOOD","NOTAX","Jetro","2.00",2,"61.20",0,0,"D",0,"general",0,"46762",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2505,"4400006010","044000060107","OREO MOST STUFF 4PK 3OZ",,"1","1.62","1.620","3.99",,,,,"Tax","SNACKS","NOTAX","Jetro","0.00",0,"59.40",0,0,"D",0,"general",0,"42561",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2506,"3077212093, 3700090816","030772120934, 030772120934","TIDE ALL IN ONE 32OZ",,"1","3.74","3.740","6.99",,,,,"Tax","HOUSEHOLD ITEMS",,"Walmart Business","0.00, 2.00",2,"46.49",6,4,"B",0,"general",0,"15661",3,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2507,"9733900005","097339000054","VALENTINA SAUCE YELLOW 12.5OZ",,"1","1.68","1.680","3.99",,,,,"Tax","PANTRY ITEMS","NOTAX","Walmart Business","1.00",1,"57.89",0,0,"D",0,"general",0,"38285",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2508,"7013711122","070137111221","BLACK & MILD JAZZ SINGLES WOOD TIP","SINGLE","1","0.94","0.940","1.50",,,,,"Tax","CIGARETTES/ CIGARRILOS","CIGARETTES","Nepa 305","26.00",26,"37.33",0,0,"D",0,"general",0,"74244",25,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2509,"2590020430, 2590020424","025900204303, 025900204303","SWISHER SWEETS PEACH",,"1","0.77","0.780","1.50",,,,,"Tax","TOBACCO PRODUCTS","Tobacco Products","Nepa 305","34.00, 0.00",34,"48.67",1,1,"C",0,"general",0,"58804",30,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2511,"7827153002, 7277797142","6972777971422, 6972777971422","RAZ LTX 25K BLUEBERRY PUNCH",,"1","11.79","9.600","32.00",,,,,"Tax","NICOTINE VAPES",,"Nepa 305","0.00, 0.00",0,"63.16",5,3,"A",0,"general",0,"27437",5,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2512,"7330411486, 7471014486","6974710144863, 6974710144863","FUME ULTRA PEACH ICE",,"1","6.35","6.350","16.00",,,,,"Tax","NICOTINE VAPES",,"Nepa 305","0.00, 6.00",6,"60.31",10,1,"B",0,"general",0,"30031",10,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2513,"9663394693","196633946935","KIRKLAND ORGANIC WHOLE MILK 8OZ",,"1","0.88","0.880","1.99",,,,,"Tax","DAIRY","NOTAX","COSTCO","5.00",5,"55.78",18,6,"B",0,"general",0,"04481",18,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2514,"4710800308","9347108003085","TANNED AF 8OZ",,"1","9.97","9.970","14.99",,,,,"Tax","PERSONAL CARE ITEMS","NOTAX","Walmart Business","4.00",4,"33.49",0,0,"D",0,"general",0,"89695",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2515,"1600012254","016000122543","CINNAMON TOAST CRUNCH CEREAL 12OZ",,"1","2.97","2.970","5.25",,,,,"Tax","PANTRY ITEMS","NOTAX","Walmart Business","3.00",3,"43.43",0,0,"D",0,"general",0,"84520",2,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2516,"8491244964","884912449641","OREO PUFFS CEREAL FAMILY SIZE 16.5OZ",,"1","4.93","4.930","7.99",,,,,"Tax","PANTRY ITEMS","NOTAX","Walmart Business","0.00",0,"38.30",2,1,"D",0,"general",0,"13352",2,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2517,"0985113976","609851139763","CYRIL CLASSIC BURNER",,"1","12.50","12.500","25.00",,,,,"Tax","HOOKAH RELATED",,"Nepa 305","0.00",0,"50.00",0,0,"B",0,"general",0,"15344",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2518,"6001226710","860012267101","EZ A PILL 12CT",,"1","0.00","0.000","8.99",,,,,"Tax","MISCELLANEOUS SMOKE SHOP",,"Nepa 305","1.00",1,"100.00",0,0,"D",0,"general",0,"27074",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2519,"3763356792","737633567920","DAY TRIPPER GUMMIES 13.5G",,"1","0.00","0.000","8.00",,,,,"Tax","MISCELLANEOUS SMOKE SHOP",,"Nepa 305","0.00",0,"100.00",0,0,"D",0,"general",0,"36181",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2520,"4910744230","649107442308","DAY TRIPPER SHOT 2OZ",,"1","0.00","0.000","9.99",,,,,"Tax","MISCELLANEOUS SMOKE SHOP",,"Nepa 305","0.00",0,"100.00",0,0,"D",0,"general",0,"72314",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2521,"9871528591, 6994600002","669946000026, 669946000026","INCENSE HOLDER",,"1","0.92","1.000","2.99",,,,,"Tax","SPIRITUAL INCENSES",,"Smoke Nation","10.00, 9.00",19,"69.23",1,1,"C",0,"general",0,"48394",11,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2522,"5208900719","852089007193","RIGHTEOUS FELON JERKY STICK OG HICKORY STICK 1GR",,"1","1.39","1.390","2.99",,,,,"Tax","SNACKS","NOTAX","REP RALLY","38.00",38,"53.51",1,1,"C",0,"general",0,"29935",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
