ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Unit Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
3,"2610000575","02657512","NEWPORT BOX CLASSIC","MISC","1","10.25","10.260","13.99",,,,,"Tax","CIGARETTES",,"NEPA 305","4.00",4,"26.73",10,5,"A",0,"general",0,"2657318",10,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
4,"2820000384","02838423","MARLBORO GOLD SHORT","MISC","1","9.55","9.550","13.99",,,,,"Tax","CIGARETTES",,"NEPA 305","8.00",8,"31.74",10,9,"A",0,"general",0,"44002",10,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
6,"1230000094","01239439","CAMEL CRUSH MENTOL SILVER","MISC","1","9.69","9.720","13.00",,,,,"Tax","CIGARETTES",,"NEPA 305","5.00",5,"25.46",10,1,"B",0,"general",0,"13032",10,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
8,"3400000009","03400908","ICEBREAKERS MINTS 1.5OZ","MISC","1","1.93","3.240","3.99",,,,,"Tax","SNACKS/ FOOD",,,"6.00",6,"51.63",0,0,"D",0,"general",0,"10984",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
10,"3400000098","03409802","ICEBREAKERS SOURS 1.5OZ","MISC","1","1.93","3.240","3.99",,,,,"Tax","SNACKS/ FOOD",,"JETRO","3.00",3,"51.63",2,2,"B",0,"general",0,"41976",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
12,"3400000246","03424607","KIT KAT 1.5OZ","MISC","1","1.62","1.620","2.00",,,,,"Tax","SNACKS/ FOOD",,"JETRO","6.00",6,"19.00",3,3,"C",0,"general",0,"3424607",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
14,"4900000044","04904403","COKE REGULAR 20OZ BOTTLE",,"1","1.47","1.470","3.00",,,,,"Tax","BEVERAGES",,"JETRO","10.00",10,"51.00",24,20,"A",0,"general",0,"87946",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
15,"4900000764","04976400","SPRITE BOTTLE 20OZ",,"1","1.49","1.470","3.00",,,,,"Tax","BEVERAGES",,"JETRO","8.00",8,"50.33",24,4,"B",0,"general",0,"16016",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
16,"7920000336","07933624","NERDS GRAPE STRAWBERRY","MISC","1","1.15","2.030","2.50",,,,,"Tax","SNACKS/ FOOD",,,"0.00",0,"54.00",0,0,"D",0,"general",0,"32149",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
17,"8066000004","08066446","MODELO ESPECIAL SINGLE 12OZ BOTTLE",,"1","1.40","1.400","2.99",,,,,"Tax","BEER",,"COAST BEVERAGE","20.00",20,"53.18",2,2,"C",0,"general",0,"8066446",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
