ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Unit Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
27,"9956711028","499567110282","ESSENTIALLITEZ LAVENDER","MISC","1","0.00","0.000","10.00",,,,,"Tax","MISCELLANEOUS",,"UNKNOWN","1.00",1,"100.00",1,0,"D",0,"general",0,"63282",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
28,"9956711029","499567110299","ESSENTIALLITEZ ORANGE","MISC","1","0.00","0.000","10.00",,,,,"Tax","MISCELLANEOUS",,"UNKNOWN","2.00",2,"100.00",1,0,"D",0,"general",0,"34815",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
29,"9956711030","499567110305","ESSENTIALLITEZ SAGE","MISC","1","0.00","0.000","10.00",,,,,"Tax","MISCELLANEOUS",,"UNKNOWN","2.00",2,"100.00",1,0,"D",0,"general",0,"84528",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
30,"9956711031","499567110312","ESSENTIALLITEZ LEMON","MISC","1","0.00","0.000","10.00",,,,,"Tax","MISCELLANEOUS",,"UNKNOWN","2.00",2,"100.00",1,0,"D",0,"general",0,"89793",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
31,"9956711033","499567110336","THE KRATOM COMPANY KRATOM CAPS","MISC","1","0.00","0.000","9.99",,,,,"Tax","KRATOM",,"UNKNOWN","3.00",3,"100.00",0,0,"D",0,"general",0,"48117",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
32,"9956711032","499567110329","ESSENTIALLITEZ FRANKINCENSE","MISC","1","0.00","0.000","10.00",,,,,"Tax","MISCELLANEOUS",,"UNKNOWN","2.00",2,"100.00",1,0,"D",0,"general",0,"44074",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
33,"9956711034","499567110343","GOLD RUSH",,"1","4.39","4.500","11.70",,,,,"Tax","MISCELLANEOUS",,"KARINA DROPPED MERCH","18.00",18,"62.48",10,3,"B",0,"general",0,"51961",10,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
34,"9956711035","499567110350","CERAMIC TOBACCO ONE HITTER",,"1","0.00","0.000","2.00",,,,,"Tax","HAND PIPES",,"UNKNOWN","23.00",23,"100.00",0,0,"D",0,"general",0,"59098",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
35,"9956711036","499567110367","LARGE METAL TRAY MAGNET $25","MISC","1","0.00","0.000","17.50",,,,,"Tax","TRAYS/ ASHTRAY/JARS",,"UNKNOWN","3.00",3,"100.00",1,0,"D",0,"general",0,"70093",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
36,"9956711037","499567110374","BAMBOO TRAY $25","MISC","1","0.00","0.000","25.00",,,,,"Tax","TRAYS/ ASHTRAY/JARS",,"UNKNOWN","1.00",1,"100.00",1,0,"D",0,"general",0,"12961",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
