Name,StockCode,UPC,QtyOnHand,UnitPrice,Category
RAZ LTX 25K ZERO NICOTINE STRAWBERRY BURST,7286650296,6972866502964,4,32.0,NICOTINE VAPES
OLIT HOOKALIT 40K STRAWBERRY KIWI,7785560135,6977855601352,1,35.0,NICOTINE VAPES
TORCH PEN 2.5GR INDICA KING LOUIE XIII,1016827734,810168277349,0,30.0,THCA PRODUCTS
TORCH PEN 2.5GR SATIVA PINEAPPLE EXPRESS,1016827738,810168277387,0,30.0,THCA PRODUCTS
TORCH PEN 2.5GR HYBRID GODFATHER OG,1016827737,810168277370,0,30.0,THCA PRODUCTS
SWISHER SWEETS 2PK STRAWBERRY,2590044559,025900445591,12,1.5,TOBACCO PRODUCTS
SWISHER SWEETS 2PK ORIGINAL,2590044552,025900445522,20,1.5,TOBACCO PRODUCTS
MARLBORO NXT KINGS CIGARETTES,2820031772,028200317728,1,14.99,TOBACCO PRODUCTS
POLKA DOT MAGIC MUSHROOM BAR DUBAI CHOCOLATE,5338784380,653387843809,0,35.0,EDIBLES
LOST MARY TURBO 35K BLACKBERRY BLUEBERRY,5671640681,5056716406815,6,27.99,NICOTINE VAPES
LOST MARY TURBO 35K STRAWBERRY KIWI,5671640683,5056716406839,2,27.99,NICOTINE VAPES
GEEKBAR X 25K PEACH PERFECT SLUSH,1016428268,810164282682,2,30.0,NICOTINE VAPES
GEEKBAR X 25K WILD CHERRY SLUSH,1016428272,810164282729,0,30.0,NICOTINE VAPES
GEEKBAR X 25K ORANGE JAM,1016428322,810164283221,4,30.0,NICOTINE VAPES
DESTINO JAR 3.5GR INDICA,"0152703131, 0152701452, 0152701142, 0152748029, 0152703104, 0152700879, 0152703127, 0152718011, 0152712724, 0152718194, 0152718335, 0152720678, 0152720719",601527206786,4,40.0,THCA PRODUCTS
DESTINO JAR 3.5GR SATIVA,"0152702554, 0152712223, 0152702547, 0152712416, 9999961783, 0152716268, 0152717556, 0152717563, 0152720307, 0152721045",601527124165,2,40.0,THCA PRODUCTS
LOST MARY TURBO 35K SCARY BERRY,5671640671,5056716406716,2,27.99,NICOTINE VAPES
LOST MARY TURBO 35K TOASTED BANANA,5671640691,5056716406914,3,27.99,NICOTINE VAPES
LOST MARY TURBO 35K SUMMER GRAPE,5671640699,5056716406990,3,27.99,NICOTINE VAPES
FUME 50MG RAINBOW CANDY,4182170085,6941821700851,9,15.0,VAPE JUICES
GEEKBAR 15K PINK LEMONADE,1012543488,810125434884,1,26.0,NICOTINE VAPES
LOST MARY ULTRASONIC 35K BLUE RAZZ ICE,5671640641,5056716406419,3,27.99,NICOTINE VAPES
HQD CUVIE GO 3% 35K MENTHOL GOD,2374202864,6923742028641,1,30.0,NICOTINE VAPES
RAZ 9K ZERO NICOTINE BLUE RAZZ,7598405990,6975984059907,4,27.0,NICOTINE VAPES
HQD CUVIE GO 3% BLACK ICE,2374202863,6923742028634,0,30.0,NICOTINE VAPES
HQD CUVIE GO 3% 35K FRESH AF,2374202859,6923742028597,3,30.0,NICOTINE VAPES
PURE GRAM PEN 2GR SATIVA,9999916831,0000,0,35.0,THCA PRODUCTS
SMAKD GUMMIES SINGLE 2000MG SINGLE TROPICAL FRUIT,5804377888,158043778889,35,4.0,EDIBLES
PURE GRAM PEN 2GR HYBRID,9999994622,0000,2,35.0,THCA PRODUCTS
PURE GRAM PEN 2GR INDICA,9999951452,0000,0,35.0,THCA PRODUCTS
HQD CUVIE PLUS TOBACCO,"2374201975, 7382670819",6973826708198,4,14.0,NICOTINE VAPES
HQD 2% LIQUID SKY MINT 30ML,3710547998,0000,15,12.99,VAPE JUICES
OCB CONE BROWN RICE 1/4 6PK,7717012904,077170129046,9,3.0,ROLLING PAPERS & CONES
GEEKBAR 15K BANANA ICE,1016428664,810164286642,3,26.0,NICOTINE VAPES
LOST MARY TURBO 35K STRAWMELON PEACH,5671640698,5056716406983,3,27.99,NICOTINE VAPES
GEEKBAR 15K PEACH LEMONADE,1016428666,810164286666,4,26.0,NICOTINE VAPES
GEEKBAR 15K STRAWBERRY KIWI,1016428658,810164286581,0,26.0,NICOTINE VAPES
GEEKBAR 15K RASPBERRY WATERMELON,1016428660,810164286604,0,26.0,NICOTINE VAPES
BOUTIQ PEN 2GR 3 STRAIN,9999999474,0000,9,40.0,THCA PRODUCTS
PUFF LA PRE ROLL 0.5GR HYBRID GUMBALL,9999948424,0000,19,8.0,THCA PRODUCTS
RAZ LTX 25K SOUR RASPBERRY PUNCH,9011000130,8990110001306,1,32.0,NICOTINE VAPES
HOOKAH TO GO,9999974733,0000,2,20.0,HOOKAH RELATED
HQD CUVIE PLUS PINEAPPLE ICE,2374202064,6923742020645,5,14.0,NICOTINE VAPES
RAZ LTX 25K ORANGE PINEAPPLE PUNCH,7826966085,6978269660850,7,32.0,NICOTINE VAPES
RAW CONE ORGANIC 1/4,1616520195,716165201953,19,3.0,ROLLING PAPERS & CONES
FUME PRO 30K NO NICOTINE POLAR ICE,4182173768,6941821737680,0,30.0,NICOTINE VAPES
305S GOLD 100S FILTERED CIGARS CIGARETTES,0921520421,0000,10,4.99,TOBACCO PRODUCTS
305'S FULL FLAVOR 100 FILTERED CIGARS CIGARETTES,0921520311,709215203113,9,4.99,TOBACCO PRODUCTS
BB GORILLA PRE ROLL 3GR HYBRID,"5545345423, 5545345415",155453454150,0,15.0,THCA PRODUCTS
RAZ LTX 25K HAWAIIAN PUNCH,"9011000128, 7826966088",6978269660881,4,32.0,NICOTINE VAPES
COOKIES PEN 2GR DUAL CHAMBER SATIVA INDICA,"3266586694, 3266586693",632665866938,0,30.0,THCA PRODUCTS
ZYN 3MG CINNAMON,0924990601,0000,5,9.99,TOBACCO PRODUCTS
LOST MARY TURBO 35K GOLDEN BERRY,5671640818,5056716408185,5,27.99,NICOTINE VAPES
LOST MARY TURBO 35K ORANGE PASSION MANGO,5671640694,5056716406945,2,27.99,NICOTINE VAPES
LOST MARY TURBO 35K WINTER MINT,5671640701,5056716407010,1,27.99,NICOTINE VAPES
LOST MARY ULTRASONIC 35K JUICY PEACH ICE,5671640643,5056716406433,3,27.99,NICOTINE VAPES
LOST MARY ULTRASONIC 35K TRIPLE BERRY,5671640646,5056716406464,3,27.99,NICOTINE VAPES
LOST MARY ULTRASONIC 35K STRAWBERRY ICE,5671640647,5056716406471,1,27.99,NICOTINE VAPES
FUME PRO 30K MANGO TANGO,4182173563,6941821735631,1,30.0,NICOTINE VAPES
BB CART 1GR PARTY PACK INDICA,9999914830,598232282498,12,20.0,THCA PRODUCTS
BB PRE ROLL 1GR INDICA MANGO OG,9823228122,598232281224,0,5.0,THCA PRODUCTS
DESTINO JAR 3.5GR HYBRID,"0152712149, 0152712189, 0152712164, 0152717786, 0152717953, 0152717845, 0152720564, 0152720423",601527205642,1,40.0,THCA PRODUCTS
GEEKBAR X 25K COLA SLUSH,1016428270,0000,4,30.0,NICOTINE VAPES
FRUIT MONSTER 48MG MANGO PEACH GUAVA,1002278917,0000,2,16.0,VAPE JUICES
VAPORESSO XROS 5 BLUE SILK,4349862629,0000,1,50.0,DEVICES: BATTERIES & MODS
GEEK X LITE 50K MIAMI MINT,1767315698,6917673156986,0,34.0,NICOTINE VAPES
FOGER BIT 35K PASSION KIWI,7182406431,6971824064315,3,30.0,NICOTINE VAPES
FOGER BIT 35K MIAMI MINT,7182406429,6971824064292,1,30.0,NICOTINE VAPES
HQD CUVIE MARS STRAWBERRY PINA COLADA,3710542625,6937105426258,4,20.0,NICOTINE VAPES
FOGER BIT 35K COOL MINT,7182406434,6971824064346,3,30.0,NICOTINE VAPES
FOGER BIT 35K BLUE RAZZ ICE,7182406442,6971824064421,3,30.0,NICOTINE VAPES
305'S SILVER KING CIGARETTES,0921547521,709215475213,8,6.0,TOBACCO PRODUCTS
LOST MARY TURBO 35K BAJA SPLASH,5671640690,5056716406907,3,27.99,NICOTINE VAPES
HQD CUVIE GLAZE TOBACCO,3710549180,6937105491805,0,25.0,NICOTINE VAPES
PUFF LA PRE ROLL 0.5GR SATIVA LIMON DROP,9999910084,0000,0,7.5,THCA PRODUCTS
HQD CUVIE PLUS SKY MENTHOL,2374203814,6923742038145,5,14.0,NICOTINE VAPES
